typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
0,5,4.0,0.53,0.04,1,0.2393,1.972,0,0.0,1,5.303510892542379,-0.145,1.595,15.287,2.798245614035088,0.0
4,2,3.0,0.69,0.0,1,0.0,1.959,0,0.6666666666666666,3,34.595873987840015,-0.05,1.895,4.2,2.7463768115942027,0.0
1,5,3.0,0.42,0.15,1,0.1584,1.9,0,0.0,1,2.824587541487726,0.05,1.695,17.063,2.9736842105263155,0.0
9,5,3.0,0.49,0.01,1,0.4615,1.973,0,0.0,1,28.239827449778776,-0.03,0.8,22.602,1.6,0.0
1,1,3.0,0.5,0.0,1,0.08,1.909,0,0.0,1,4.0219086692254375,0.11,0.85,1.7,1.7,0.0
4,5,1.0,0.0,0.0,0,0.0,0.0,0,0.0,3,44.6037964438978,-0.325,2.395,9.36,0.0,0.0
4,2,1.0,0.3,0.0,0,0.0,1.931,0,0.1666666666666666,3,24.62077566918236,0.265,2.895,5.88,9.65,1.0
7,2,5.0,1.072,0.0,1,0.0,1.984,1,0.0,0,0.0,0.055,3.195,24.896,2.980410447761194,0.0
4,2,3.0,0.81,0.0,1,0.0,1.954,0,1.0,3,14.968832716922062,0.155,4.195,5.04,5.179012345679013,1.0
8,5,4.0,0.9,0.85,1,0.1046,1.963,0,0.0,2,57.047126029448464,-0.595,3.795,30.074,2.1685714285714286,0.0
4,2,1.0,0.4,0.0,1,0.0,1.93,0,1.0,3,14.757935860904034,0.88,3.495,6.48,8.7375,1.0
8,5,7.0,1.46,1.09,1,0.1152,1.944,0,0.0,2,13.671944293644058,1.15,13.45,16.9,5.2745098039215685,0.0
7,5,2.0,0.69,0.0,1,0.0184,1.977,1,0.0,0,18.13054118622004,0.255,2.495,18.1,3.6159420289855073,0.0
4,2,3.0,0.77,0.0,1,0.0,1.961,0,0.25,3,14.968832716922062,0.405,2.995,9.585,3.8896103896103895,1.0
7,2,4.0,0.88,0.0,1,0.0,1.992,1,0.0,0,19.469693381944364,-0.495,4.495,3.0,5.107954545454546,0.0
4,2,3.0,0.645,0.0,1,0.0,2.002,0,1.0,3,48.99273499012682,-0.2,2.65,4.2,4.108527131782946,1.0
7,5,6.0,1.38,0.57,1,0.0406,1.971,0,0.0,0,8.104883275107976,-0.5,11.5,60.6,5.897435897435898,0.0
8,5,5.0,2.75,0.0,1,0.2388,2.011,0,0.0,2,25.676901788420206,-2.9,20.9,81.9,7.6,0.0
9,5,4.0,1.2,0.8,1,0.2433,1.966,0,0.0,1,59.60218877092586,-0.22,3.495,45.91,1.7475,0.0
8,5,5.0,1.42,0.0,1,0.0932,2.023,0,0.0,2,27.07011980480841,-0.37,5.495,13.7,3.869718309859155,0.0
7,2,4.0,0.96,0.0,1,0.0,1.983,1,0.0,0,16.1768868259903,0.205,3.595,19.404,3.7447916666666665,0.0
7,5,5.0,1.57,0.0,1,0.022,1.979,0,0.0,0,18.13054118622004,-0.29,4.29,35.347,2.732484076433121,0.0
4,2,3.0,0.84,0.0,0,0.0,0.0,1,0.1666666666666666,3,60.70480763502802,-0.045,1.495,4.244,1.7797619047619049,1.0
0,5,3.0,0.0,0.0,1,0.0,0.0,0,0.0,1,5.661126139955687,-0.095,3.495,0.0,0.0,0.0
1,5,2.0,0.43,0.0,1,0.2044,1.974,0,0.0,1,4.728138658032534,0.18,0.895,25.884,2.081395348837209,0.0
9,5,4.0,0.84,0.0,1,0.2942,1.976,0,0.0,1,15.043508356674762,-0.225,3.975,7.0,4.732142857142858,0.0
8,5,6.0,1.66,0.45,1,0.24,1.938,0,0.0,2,36.76714777461943,0.25,3.5,28.05,1.6587677725118484,0.0
7,5,6.0,1.18,0.23,1,0.0216,1.98,0,0.0,0,16.22987130823462,-0.28,4.2,57.247,2.978723404255319,0.0
4,2,2.0,0.4,0.0,0,0.0,0.0,0,0.6666666666666666,3,20.72601774715548,0.055,2.795,0.0,6.9875,0.0
