price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,3 490 000 kr,-290 000 kr (-8 %),Radhus,Äganderätt,5 rum,93 m²,43 m²,N/A,289 m²,1969,70 277 kr/år,N/A,N/A,"Radhus - Skärholmen, Stockholms kommun - Såld 15 december 2023",Stockholm,3 200 000 kr
39 450 kr/m²,4 500 000 kr,-200 000 kr (-4 %),Radhus,Bostadsrätt,4 rum,109 m²,N/A,Ja,N/A,1993,12 660 kr/år,N/A,N/A,"Radhus - Viby, Sollentuna kommun - Såld 15 december 2023",Stockholm,4 300 000 kr
N/A,6 395 000 kr,-395 000 kr (-6 %),Kedjehus,Äganderätt,6 rum,149 m²,N/A,N/A,212 m²,1979,50 507 kr/år,N/A,N/A,"Kedjehus - Vallatorp, Täby kommun - Såld 15 december 2023",Stockholm,6 000 000 kr
115 833 kr/m²,22 950 000 kr,-2 100 000 kr (-9 %),Radhus,Bostadsrätt,5 rum,180 m²,N/A,Ja,N/A,2016,10 392 kr/år,Ja,N/A,"Radhus - Norra Djurgårdsstaden, Stockholms kommun - Såld 14 december 2023",Stockholm,20 850 000 kr
N/A,4 300 000 kr,-100 000 kr (-2 %),Kedjehus,Äganderätt,4 rum,112 m²,N/A,N/A,217 m²,1974,38 606 kr/år,N/A,N/A,"Kedjehus - Fresta, Upplands Väsby kommun - Såld 14 december 2023",Stockholm,4 200 000 kr
N/A,3 895 000 kr,-255 000 kr (-7 %),Kedjehus,Äganderätt,8 rum,152 m²,19 m²,Ja,377 m²,N/A,41 853 kr/år,Ja,N/A,"Kedjehus - Rönninge, Salems kommun - Såld 14 december 2023",Stockholm,3 640 000 kr
N/A,5 995 000 kr,-395 000 kr (-7 %),Parhus,Äganderätt,5 rum,135 m²,N/A,Ja,406 m²,2018,43 494 kr/år,Ja,N/A,"Parhus - Trångsund, Huddinge kommun - Såld 14 december 2023",Stockholm,5 600 000 kr
N/A,9 000 000 kr,-500 000 kr (-6 %),Radhus,Äganderätt,6 rum,125 m²,29 m²,N/A,250 m²,1966,58 031 kr/år,N/A,N/A,"Radhus - Rudboda, Lidingö kommun - Såld 13 december 2023",Stockholm,8 500 000 kr
31 609 kr/m²,2 995 000 kr,-245 000 kr (-8 %),Radhus,Bostadsrätt,4 rum,87 m²,23 m²,N/A,N/A,1956,2 148 kr/år,Ja,N/A,"Radhus - Runby, Upplands Väsby kommun - Såld 13 december 2023",Stockholm,2 750 000 kr
N/A,3 595 000 kr,-295 000 kr (-8 %),Radhus,Tomträtt,5 rum,136 m²,N/A,N/A,345 m²,1972,38 900 kr/år,N/A,N/A,"Radhus - Alby, Botkyrka kommun - Såld 13 december 2023",Stockholm,3 300 000 kr
21 698 kr/m²,2 395 000 kr,-95 000 kr (-4 %),Radhus,Bostadsrätt,4 rum,106 m²,N/A,N/A,N/A,N/A,30 137 kr/år,Ja,N/A,"Radhus - Margretelund, Österåkers kommun - Såld 12 december 2023",Stockholm,2 300 000 kr
N/A,3 995 000 kr,-295 000 kr (-7 %),Radhus,Äganderätt,5 rum,124 m²,N/A,N/A,123 m²,1972,34 527 kr/år,N/A,N/A,"Radhus - Odenslunda, Upplands Väsby kommun - Såld 12 december 2023",Stockholm,3 700 000 kr
N/A,3 345 000 kr,-295 000 kr (-9 %),Radhus,Äganderätt,4 rum,92 m²,N/A,Ja,115 m²,1972,38 263 kr/år,Ja,N/A,"Radhus - Tumba, Botkyrka kommun - Såld 12 december 2023",Stockholm,3 050 000 kr
N/A,4 395 000 kr,-400 000 kr (-9 %),Radhus,Äganderätt,4 rum,78 m²,N/A,N/A,162 m²,1977,40 800 kr/år,Ja,N/A,"Radhus - Trollbäcken, Tyresö kommun - Såld 12 december 2023",Stockholm,3 995 000 kr
N/A,5 950 000 kr,-150 000 kr (-3 %),Kedjehus,Äganderätt,5 rum,139 m²,N/A,N/A,262 m²,2021,38 311 kr/år,N/A,N/A,"Kedjehus - Täljöviken, Österåkers kommun - Såld 11 december 2023",Stockholm,5 800 000 kr
N/A,6 390 000 kr,-190 000 kr (-3 %),Parhus,Äganderätt,5 rum,124 m²,N/A,N/A,536 m²,1995,43 788 kr/år,Ja,N/A,"Parhus - Myrängen, Huddinge kommun - Såld 11 december 2023",Stockholm,6 200 000 kr
N/A,6 675 000 kr,-175 000 kr (-3 %),Radhus,Äganderätt,5 rum,108 m²,40 m²,N/A,430 m²,1957,39 150 kr/år,N/A,N/A,"Radhus - Vällingbyhöjden, Stockholms kommun - Såld 11 december 2023",Stockholm,6 500 000 kr
N/A,5 595 000 kr,-195 000 kr (-3 %),Parhus,Äganderätt,6 rum,148 m²,N/A,N/A,186 m²,1972,29 365 kr/år,N/A,N/A,"Parhus - Erikslund, Täby kommun - Såld 10 december 2023",Stockholm,5 400 000 kr
N/A,2 195 000 kr,-395 000 kr (-18 %),Parhus,Äganderätt,4 rum,120 m²,N/A,N/A,701 m²,1909,55 145 kr/år,N/A,N/A,"Parhus - Nykvarn, Nykvarns kommun - Såld 10 december 2023",Stockholm,1 800 000 kr
N/A,3 600 000 kr,-400 000 kr (-11 %),Radhus,Äganderätt,3 rum,86 m²,N/A,N/A,213 m²,2014,32 500 kr/år,N/A,N/A,"Radhus - Steningehöjden, Sigtuna kommun - Såld 10 december 2023",Stockholm,3 200 000 kr
N/A,6 495 000 kr,-45 000 kr (-1 %),Kedjehus,Äganderätt,5 rum,131 m²,N/A,N/A,290 m²,1979,49 249 kr/år,N/A,N/A,"Kedjehus - Skarpäng, Täby kommun - Såld 10 december 2023",Stockholm,6 450 000 kr
N/A,2 795 000 kr,-95 000 kr (-3 %),Radhus,Äganderätt,5 rum,107 m²,13 m²,N/A,233 m²,1973,36 470 kr/år,N/A,N/A,"Radhus - Söra, Österåkers kommun - Såld 09 december 2023",Stockholm,2 700 000 kr
N/A,6 495 000 kr,-395 000 kr (-6 %),Parhus,Äganderätt,6 rum,166 m²,N/A,N/A,404 m²,1993,62 292 kr/år,N/A,N/A,"Parhus - Skarpäng, Täby kommun - Såld 09 december 2023",Stockholm,6 100 000 kr
40 367 kr/m²,2 395 000 kr,-195 000 kr (-8 %),Parhus,Bostadsrätt,3 rum,"54,5 m²","7,5 m²",N/A,N/A,1986,23 950 kr/år,Ja,N/A,"Parhus - Åkersberga Centralt, Österåkers kommun - Såld 08 december 2023",Stockholm,2 200 000 kr
N/A,15 200 000 kr,-1 200 000 kr (-8 %),Radhus,Äganderätt,7 rum,146 m²,76 m²,N/A,208 m²,1963,50 028 kr/år,N/A,N/A,"Radhus - Bromma Smedslätten, Stockholms kommun - Såld 08 december 2023",Stockholm,14 000 000 kr
N/A,3 295 000 kr,-295 000 kr (-9 %),Radhus,Äganderätt,3 rum,99 m²,10 m²,N/A,122 m²,1978,59 602 kr/år,Ja,N/A,"Radhus - Kragstalund, Vallentuna kommun - Såld 08 december 2023",Stockholm,3 000 000 kr
N/A,3 995 000 kr,-695 000 kr (-17 %),Kedjehus,Äganderätt,3 rum,82 m²,10 m²,N/A,214 m²,1976,N/A,Ja,N/A,"Kedjehus - Viksjö, Järfälla kommun - Såld 08 december 2023",Stockholm,3 300 000 kr
40 834 kr/m²,4 850 000 kr,-150 000 kr (-3 %),Radhus,Bostadsrätt,5 rum,"115,1 m²",N/A,N/A,N/A,N/A,N/A,Ja,"1 av 1, hiss finns ej","Radhus - Sundbyberg, Sundbybergs kommun - Såld 07 december 2023",Stockholm,4 700 000 kr
N/A,3 575 000 kr,-475 000 kr (-13 %),Radhus,Äganderätt,6 rum,136 m²,N/A,N/A,273 m²,1970,16 613 kr/år,Ja,N/A,"Radhus - Salem, Salems kommun - Såld 07 december 2023",Stockholm,3 100 000 kr
N/A,3 995 000 kr,-195 000 kr (-5 %),Radhus,Äganderätt,5 rum,133 m²,N/A,Ja,245 m²,1970,24 591 kr/år,Ja,N/A,"Radhus - Viksjö, Järfälla kommun - Såld 07 december 2023",Stockholm,3 800 000 kr
34 783 kr/m²,3 395 000 kr,-195 000 kr (-6 %),Radhus,Bostadsrätt,4 rum,92 m²,N/A,N/A,N/A,2019,26 518 kr/år,Ja,N/A,"Radhus - Täljö, Österåkers kommun - Såld 06 december 2023",Stockholm,3 200 000 kr
