price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,8 795 000 kr,-395 000 kr (-4 %),Villa,Äganderätt,5 rum,180 m²,40 m²,N/A,1 494 m²,2014,44 330 kr/år,N/A,N/A,"Villa - Farsta - Mellansjö, Huddinge kommun - Såld 12 december 2023",Stockholm,8 400 000 kr
N/A,3 250 000 kr,-75 000 kr (-2 %),Villa,Äganderätt,2 rum,49 m²,55 m²,N/A,2 216 m²,1955,26 840 kr/år,N/A,N/A,"Villa - Huddinge Vidja, Huddinge kommun - Såld 12 december 2023",Stockholm,3 175 000 kr
N/A,7 450 000 kr,-330 000 kr (-4 %),Villa,Äganderätt,6 rum,102 m²,54 m²,N/A,680 m²,1938,60 000 kr/år,Ja,N/A,"Villa - Bromma, Stockholms kommun - Såld 12 december 2023",Stockholm,7 120 000 kr
N/A,5 795 000 kr,-35 000 kr (-1 %),Villa,Äganderätt,N/A,127 m²,48 m²,N/A,801 m²,1988,N/A,N/A,N/A,"Villa - Jakobsberg, Järfälla kommun - Såld 12 december 2023",Stockholm,5 760 000 kr
N/A,4 695 000 kr,-295 000 kr (-6 %),Villa,Äganderätt,5 rum,130 m²,26 m²,Ja,397 m²,2002,40 221 kr/år,Ja,N/A,"Villa - Steninge, Sigtuna kommun - Såld 11 december 2023",Stockholm,4 400 000 kr
N/A,5 195 000 kr,-95 000 kr (-2 %),Villa,Äganderätt,6 rum,126 m²,80 m²,Ja,985 m²,1926,34 379 kr/år,Ja,N/A,"Villa - Södertälje, Södertälje kommun - Såld 11 december 2023",Stockholm,5 100 000 kr
N/A,10 495 000 kr,-795 000 kr (-8 %),Villa,Äganderätt,6 rum,112 m²,65 m²,Ja,875 m²,1949,84 086 kr/år,Ja,N/A,"Villa - Kärringstan/Enskededalen, Stockholms kommun - Såld 11 december 2023",Stockholm,9 700 000 kr
N/A,4 395 000 kr,-200 000 kr (-5 %),Villa,Äganderätt,5 rum,109 m²,22 m²,Ja,1 315 m²,1918,43 205 kr/år,Ja,N/A,"Villa - Östertälje, Södertälje kommun - Såld 11 december 2023",Stockholm,4 195 000 kr
N/A,8 475 000 kr,-400 000 kr (-5 %),Villa,Äganderätt,7 rum,151 m²,43 m²,N/A,816 m²,1984,35 211 kr/år,N/A,N/A,"Villa - Skarpäng, Täby kommun - Såld 11 december 2023",Stockholm,8 075 000 kr
N/A,7 995 000 kr,-175 000 kr (-2 %),Villa,Äganderätt,5 rum,163 m²,27 m²,N/A,1 259 m²,1952,55 560 kr/år,N/A,N/A,"Villa - Snättringe, Huddinge kommun - Såld 11 december 2023",Stockholm,7 820 000 kr
