price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
47 788 kr/m²,2 895 000 kr,-195 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,"56,5 m²",N/A,Nej,N/A,1961,N/A,N/A,"1 av 2, hiss finns ej","Lägenhet - Näset, Lidingö kommun - Såld 29 december 2023",Stockholm,2 700 000 kr
21 348 kr/m²,1 195 000 kr,-245 000 kr (-21 %),Lägenhet,Bostadsrätt,1 rum,"44,5 m²",N/A,Ja,N/A,1971-1972,N/A,N/A,"7 av 7, hiss finns","Lägenhet - Botkyrka-Norsborg, Botkyrka kommun - Såld 29 december 2023",Stockholm,950 000 kr
62 397 kr/m²,3 795 000 kr,-20 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,"60,5 m²",N/A,Ja,N/A,1952-1956,N/A,N/A,"2 av 3, hiss finns ej","Lägenhet - Mörbybacken, Danderyds kommun - Såld 29 december 2023",Stockholm,3 775 000 kr
37 759 kr/m²,1 225 000 kr,-130 000 kr (-11 %),Lägenhet,Bostadsrätt,1 rum,29 m²,N/A,Ja,N/A,2017,5 400 kr/år,N/A,"4 av 8, hiss finns","Lägenhet - Alby, Botkyrka kommun - Såld 29 december 2023",Stockholm,1 095 000 kr
22 931 kr/m²,1 495 000 kr,-165 000 kr (-11 %),Lägenhet,Bostadsrätt,2 rum,58 m²,N/A,Ja,N/A,1962,N/A,N/A,"2 av 2, hiss finns ej","Lägenhet - Kallhäll, Järfälla kommun - Såld 29 december 2023",Stockholm,1 330 000 kr
26 812 kr/m²,1 995 000 kr,-145 000 kr (-7 %),Lägenhet,Bostadsrätt,3 rum,69 m²,N/A,Ja,N/A,1962,N/A,N/A,"1 av 3, hiss finns ej","Lägenhet - Jakobsberg, Järfälla kommun - Såld 29 december 2023",Stockholm,1 850 000 kr
28 571 kr/m²,1 895 000 kr,-95 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,63 m²,N/A,Ja,N/A,1960,4 800 kr/år,N/A,"1 av 3, hiss finns ej","Lägenhet - Trångsund, Huddinge kommun - Såld 29 december 2023",Stockholm,1 800 000 kr
28 351 kr/m²,1 695 000 kr,-320 000 kr (-19 %),Lägenhet,Bostadsrätt,1 rum,"48,5 m²",N/A,N/A,N/A,2020,N/A,N/A,"1 av 11, hiss finns","Lägenhet - Kallhäll, Järfälla kommun - Såld 29 december 2023",Stockholm,1 375 000 kr
38 298 kr/m²,1 950 000 kr,-150 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,47 m²,N/A,N/A,N/A,1929,4 200 kr/år,N/A,1 av 2,"Lägenhet - Stenhamra, Ekerö kommun - Såld 29 december 2023",Stockholm,1 800 000 kr
9 434 kr/m²,895 000 kr,-145 000 kr (-16 %),Lägenhet,Bostadsrätt,3 rum,"79,5 m²",N/A,Nej,N/A,1973,8 424 kr/år,Ja,"1 av 8, hiss finns","Lägenhet - Södertälje - Hovsjö, Södertälje kommun - Såld 29 december 2023",Stockholm,750 000 kr
48 980 kr/m²,4 995 000 kr,-195 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,98 m²,N/A,Ja,N/A,2011,9 600 kr/år,N/A,"2 av 5, hiss finns","Lägenhet - Bromma / Annedal, Stockholms kommun - Såld 29 december 2023",Stockholm,4 800 000 kr
